1000
183792
   6    1    0    0    0    4    1    1    2    0 
   5    1    1    0    2    0    0    0    0    1 
 121    0    2    1    1    1    0    0    1    1 
  10    0    0    0    0    1    0    0    1    2 
  10    0    1    0    1    1    0    1    1    1 
   7    0    1    1    0    2    0    0    4    0 
   6    2    0    1    1    2    0    1    1    0 
  40    0    1    0    0    0    3    0    0    1 
   8    0    1    0    0    1    0    0    2    0 
   9    0    0    0    1    5    3    1    1    2 
   8    1    1    0    1    0    1    0    0    1 
  11    1    1    1    0    0    1    0    0    0 
 143    0    1    1    1    0    0    0    0    0 
  10    0    0    0    0    0    0    0    0    0 
   3    0    0    0    0    4    0    0    0    0 
   4    0    0    0    2    1    0    1    1    1 
   5    2    0    0    0    1    0    0    1    0 
  13    1    0    0    0    2    0    0    1    2 
   8    0    0    0    0    3    0    0    0    0 
   5    0    1    0    0    2    1    0    0    0 
  10    1    1    1    1    0    1    1    0    0 
   3    0    0    0    0    0    0    0    0    0 
  54    0    0    1    0    1    0    0    0    1 
   7    0    0    0    0    0    0    0    0    1 
   5    0    0    0    1    0    0    0    0    1 
   2    0    0    1    0    2    0    0    0    0 
   4    1    0    0    0    2    0    1    0    0 
  10    0    1    0    1    0    0    0    1    0 
   2    0    0    0    1    0    0    0    2    0 
   5    1    0    0    1    0    0    2    0    0 
   4    0    1    0    1    0    0    1    1    0 
   7    0    1    0    1    1    1    0    3 2798 


   0   86  129  257  221  297  215  207  245  148 
   0  197  278  190  280  603  705  221  497  266 
   0  740  176  342  197  994  139  266  206   90 
   0   69 3827  241  245  401  212   91  200  132 
   0   79  428   90  219 1695  344   88  250   93 
   0  182  136  223  206  229  305  109  107   52 
   0   69  147  390  282  236  126   58  211   88 
   0   64  164   89   76  317   90  113  187   60 
   0  109   96   52  146  279   75  151  165   67 
   0   79   73   61   44  199  210   86  204   89 
   0   32   90   36   83  162   68   30  196   48 
   0   53  113   46   64  119   60   67   42   43 
   0   34   48   57   54  115   73   38   85   33 
   0   44  157   37   74  162   66   51   80   19 
   0   37   32   36   98   65   34   57   43   17 
   0   19   43   59   55   68  110   21   44   36 
   0   22  139   35   42  130   22   35   77   32 
   0   31   39   81  119  113   63   34   30   24 
   0   24   32   28   26   59   42   37   28   39 
   0   26   69   21   32   92   43   20   65   30 
   0   21   14   41   50   68   30   28   34   24 
   0   20   32   31   10   93  137   18  112   19 
   0   15   33   20   33 2329   16   31   50   13 
   0   28   19   19   32   49   15   36   45   17 
   0   19   38   26   25   60   22   21   27   14 
   0    6  106   19   20  177   31    9   23   15 
   0   28   12   12   45   38   15   65   23   12 
   0   12   25   22   14   58   18   24   34   26 
   0    9   23   10   16   45   22   17   89   17 
   0   13   19   18   21   27   22  131   22   23 
   0   19   18   19   31   27   24   16   26   13 
   0    7   36   17   16   45   23   13   30   12 
   0   19   16   17   31   60   13   15   22   10 
   0    6   12   10   16   22   34   16   26   13 
   0    9   38    8    4   25   15   14   34    8 
   0   19   26   10   27   21   24   25   12    8 
   0   11   11   16   19   18   16  115   29   29 
   0   11   15   23   27   75   15    6   34    7 
   0    6    5   17   26   26   26   13   15   12 
   0    8   21   21   13   30   18   12   17   26 
   0    7   13    6    6   24   15   12   17    3 
   0    7   11    9   14   21   21   10   15    2 
   0   13   11   14    9   35   15    9   14   11 
   0    8   30    7    9   18   14   16   17    3 
   0   17    6    5   15   14    6    4   13    8 
   0    5    8    7   10   21   18    4   17   23 
   0    8   23    8   10   24    7    6   45    8 
   0    6   11    8    3   53   14    8    8    3 
   0   12    7   15    5   14   11    7   13    4 
   0    6    8   18   26   25   13    6   14   11 
   0    5    4    5   31    8    5    8    6    7 
   0   15    9   11    3    8    6   15   13   10 
   0    3   11    4    6   34   13    6   28    6 
   0   12   19    6   16    9    9    2   13    4 
   0    3    5    4   16   16   17    4    7    7 
